Open_time,Buy_1000x_high,sell_1000x_high,total_trades_binance
2022-07-05 03:00:00,763,765,43000.00000000
2022-07-06 03:00:00,502,586,29000.00000000
2022-07-07 03:00:00,596,600,39000.00000000
2022-07-08 03:00:00,542,525,34000.00000000
2022-07-09 03:00:00,393,283,26000.00000000
2022-07-10 03:00:00,446,383,26000.00000000
2022-07-11 03:00:00,500,467,27000.00000000
2022-07-12 03:00:00,477,333,30000.00000000
2022-07-13 03:00:00,650,555,42000.00000000
2022-07-14 03:00:00,564,571,32000.00000000
2022-07-15 03:00:00,720,661,34000.00000000
2022-07-16 03:00:00,680,648,36000.00000000
2022-07-17 03:00:00,572,533,33000.00000000
2022-07-18 03:00:00,1632,1598,88000.00000000
2022-07-19 03:00:00,1037,1184,65000.00000000
2022-07-20 03:00:00,1196,1145,75000.00000000
2022-07-21 03:00:00,661,660,34000.00000000
2022-07-22 03:00:00,706,699,40000.00000000
2022-07-23 03:00:00,442,444,27000.00000000
2022-07-24 03:00:00,585,580,30000.00000000
2022-07-25 03:00:00,727,824,34000.00000000
2022-07-26 03:00:00,528,691,32000.00000000
2022-07-27 03:00:00,995,1102,56000.00000000
2022-07-28 03:00:00,1123,1133,63000.00000000
2022-07-29 03:00:00,1050,1029,81000.00000000
2022-07-30 03:00:00,1060,1115,69000.00000000
2022-07-31 03:00:00,1326,1268,93000.00000000
2022-08-01 03:00:00,996,895,60000.00000000
2022-08-02 03:00:00,922,1141,55000.00000000
2022-08-03 03:00:00,766,808,45000.00000000
2022-08-04 03:00:00,580,536,37000.00000000
2022-08-05 03:00:00,823,778,56000.00000000
2022-08-06 03:00:00,585,627,35000.00000000
2022-08-07 03:00:00,495,544,34000.00000000
2022-08-08 03:00:00,1235,1161,82000.00000000
2022-08-09 03:00:00,857,868,53000.00000000
2022-08-10 03:00:00,1192,1194,78000.00000000
2022-08-11 03:00:00,818,875,48000.00000000
2022-08-12 03:00:00,599,579,38000.00000000
2022-08-13 03:00:00,463,466,36000.00000000
2022-08-14 03:00:00,574,607,50000.00000000
2022-08-15 03:00:00,658,638,47000.00000000
2022-08-16 03:00:00,533,511,35000.00000000
2022-08-17 03:00:00,554,627,46000.00000000
2022-08-18 03:00:00,416,395,39000.00000000
2022-08-19 03:00:00,634,657,53000.00000000
2022-08-20 03:00:00,432,439,27000.00000000
2022-08-21 03:00:00,360,354,22000.00000000
2022-08-22 03:00:00,431,484,26000.00000000
2022-08-23 03:00:00,571,568,32000.00000000
2022-08-24 03:00:00,346,385,23000.00000000
2022-08-25 03:00:00,286,335,19000.00000000
2022-08-26 03:00:00,639,650,41000.00000000
2022-08-27 03:00:00,469,500,26000.00000000
2022-08-28 03:00:00,367,335,21000.00000000
2022-08-29 03:00:00,480,502,25000.00000000
2022-08-30 03:00:00,627,697,30000.00000000
2022-08-31 03:00:00,560,563,22000.00000000
2022-09-01 03:00:00,557,578,21000.00000000
2022-09-02 03:00:00,688,725,33000.00000000
2022-09-03 03:00:00,393,434,14000.00000000
2022-09-04 03:00:00,536,550,22000.00000000
2022-09-05 03:00:00,682,690,33000.00000000
2022-09-06 03:00:00,938,975,39000.00000000
2022-09-07 03:00:00,649,650,26000.00000000
2022-09-08 03:00:00,769,720,29000.00000000
2022-09-09 03:00:00,1245,1263,46000.00000000
2022-09-10 03:00:00,601,639,23000.00000000
2022-09-11 03:00:00,725,765,29000.00000000
2022-09-12 03:00:00,910,932,45000.00000000
2022-09-13 03:00:00,926,942,49000.00000000
2022-09-14 03:00:00,710,689,28000.00000000
2022-09-15 03:00:00,839,916,33000.00000000
2022-09-16 03:00:00,575,610,30000.00000000
2022-09-17 03:00:00,333,347,29000.00000000
2022-09-18 03:00:00,794,817,44000.00000000
2022-09-19 03:00:00,857,925,41000.00000000
2022-09-20 03:00:00,626,688,22000.00000000
2022-09-21 03:00:00,1189,1209,46000.00000000
2022-09-22 03:00:00,791,677,29000.00000000
2022-09-23 03:00:00,1089,992,34000.00000000
2022-09-24 03:00:00,524,435,17000.00000000
2022-09-25 03:00:00,608,505,18000.00000000
2022-09-26 03:00:00,1098,1097,35000.00000000
2022-09-27 03:00:00,851,774,37000.00000000
2022-09-28 03:00:00,644,579,22000.00000000
2022-09-29 03:00:00,792,788,22000.00000000
2022-09-30 03:00:00,834,784,33000.00000000
2022-10-01 03:00:00,360,360,14000.00000000
2022-10-02 03:00:00,562,572,18000.00000000
2022-10-03 03:00:00,622,658,17000.00000000
2022-10-04 03:00:00,524,498,17000.00000000
2022-10-05 03:00:00,557,532,18000.00000000
2022-10-06 03:00:00,545,524,16000.00000000
2022-10-07 03:00:00,371,331,13000.00000000
2022-10-08 03:00:00,228,202,9000.00000000
2022-10-09 03:00:00,377,374,16000.00000000
2022-10-10 03:00:00,598,496,19000.00000000
2022-10-11 03:00:00,430,406,14000.00000000
2022-10-12 03:00:00,357,312,14000.00000000
2022-10-13 03:00:00,763,733,40000.00000000
2022-10-14 03:00:00,469,443,17000.00000000
2022-10-15 03:00:00,196,217,12000.00000000
2022-10-16 03:00:00,249,249,15000.00000000
2022-10-17 03:00:00,326,368,16000.00000000
2022-10-18 03:00:00,538,489,15000.00000000
2022-10-19 03:00:00,512,516,22000.00000000
2022-10-20 03:00:00,557,566,25000.00000000
2022-10-21 03:00:00,687,722,29000.00000000
2022-10-22 03:00:00,308,303,17000.00000000
2022-10-23 03:00:00,349,359,14000.00000000
