Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,Buy_1000x_high,sell_1000x_high
2022-03-13,18.14,18.4,17.13,17.22,4818274.4,86043792.8475,170760.0,38807.35,39310.0,37578.51,37777.34,32791.82359,1268441605.1866877,841844.0,2568.8,2603.32,2493.0,2515.65,316942.1601,811775081.5579939,444352.0,372.4,377.2,360.1,361.4,424762.642,157468699.6473,252852.0,17.416500000000003,17.674509165969884,19.081796069772363,17.416500000000003,15.751203930227645,45.97964190728741,-0.4401432118452462,-0.5997198469489678,23.880332674692703,47.2846441947566,47.61010891533991,-5.6554065921201175,262.0,206.0
2022-03-14,17.22,17.86,17.0,17.7,4696610.2,82067579.7685,132672.0,37777.35,39947.12,37555.0,39671.37,46945.45375,1821922588.4472065,1114899.0,2515.66,2609.6,2498.67,2589.41,386630.1912,991479973.0914941,609122.0,361.4,373.9,359.5,373.4,467814.984,171918309.3804,250927.0,17.4715,17.676936864448944,19.09749231240482,17.4715,15.845507687595177,48.73464288135467,-0.3906132258586261,-0.5578985227308995,23.441565093304217,47.37827715355807,46.97666276942181,-7.769869513642157,183.0,168.0
2022-03-15,17.7,18.06,17.05,17.81,4076701.31,71398973.6628,139848.0,39671.37,39887.61,38098.33,39280.33,46015.54926,1796571984.458497,1060517.0,2589.42,2669.0,2507.0,2617.73,461202.3014,1189436494.535537,686797.0,373.4,374.7,361.7,371.7,440890.823,162504505.4955,232435.0,17.563499999999998,17.689609544025235,19.040663159572983,17.563499999999998,16.086336840427013,49.37186719734413,-0.3385813197339651,-0.5140350821315126,22.78613392432592,45.84798143425011,46.836967594188216,22.227286539045878,245.0,245.0
2022-03-16,17.81,19.19,17.69,19.05,8986827.35,164584412.3286,272437.0,39280.33,41718.0,38828.48,41114.0,88120.76167,3552563766.3655386,2051837.0,2617.74,2788.0,2603.38,2773.81,666224.7217,1792497068.36131,1055171.0,371.7,386.6,367.8,385.4,668878.615,252390066.8971,348707.0,17.708,17.819170539832356,19.173081567695014,17.708,16.24291843230498,56.00986800903789,-0.1950397258216654,-0.4502360108695432,21.38129171236343,66.29518888261991,53.17381582347599,174.95509366179118,487.0,479.0
2022-03-17,19.05,19.35,18.63,18.75,4721544.69,89440439.9346,131772.0,41114.01,41478.82,40500.0,40917.9,37189.38087,1521083189.7108624,935784.0,2773.8,2836.0,2746.42,2811.92,379312.541,1058301299.033757,597885.0,385.3,393.5,381.7,391.8,569457.408,220668680.0061,292447.0,17.782999999999998,17.907820964610227,19.29929944272232,17.782999999999998,16.266700557277677,54.15972172515821,-0.1042873120633451,-0.3810462711083036,20.23369112250945,77.7407699659672,63.2946467609457,186.41436196021323,264.0,216.0
2022-03-18,18.75,19.2,18.13,18.95,4587101.48,85522884.9768,136167.0,40917.89,42325.02,40135.04,41757.51,45408.00969,1862337033.4847207,1065054.0,2811.91,2984.0,2765.59,2938.92,556535.7966,1590887965.76135,794774.0,391.9,400.0,384.0,397.2,553763.586,216435335.2584,309939.0,17.829,18.007076110837826,19.426146204954183,17.829,16.231853795045815,55.2216687381179,-0.0160421182405769,-0.3080454405347582,18.94207893824389,88.58684633260027,77.54093506039577,132.79365468743592,291.0,311.0
2022-03-19,18.95,19.79,18.86,19.4,4955267.89,95919571.5195,173538.0,41757.51,42400.0,41499.29,42201.13,29067.18108,1216709156.4428053,801197.0,2938.84,2987.7,2890.86,2950.84,325971.5398,961244629.511118,556406.0,397.2,406.4,394.9,399.9,459996.613,184226934.2762,285223.0,17.924,18.139735528853272,19.6522175788944,17.924,16.1957824211056,57.60164077255357,0.0891761061874092,-0.2286011311903247,18.038423961521524,86.61967208810823,84.31576279555854,149.95512117283317,302.0,291.0
2022-03-20,19.4,19.46,18.32,18.65,3665220.06,69138849.9193,125787.0,42201.13,42296.26,40911.0,41262.11,30653.33468,1273880705.2502496,799695.0,2950.85,2964.17,2817.21,2861.38,377608.8214,1089196046.052685,651827.0,399.9,400.8,386.2,390.8,398984.429,156927918.921,265148.0,17.909499999999998,18.18833214515296,19.607987268130017,17.909499999999998,16.211012731869978,52.58514492301956,0.1107667252556332,-0.1607275599011331,16.872473333153742,82.56343611756517,85.92331817942453,80.83325406639386,260.0,192.0
2022-03-21,18.66,19.06,18.4,18.74,4133739.8,77622162.8513,133812.0,41262.11,41544.22,40467.94,41002.25,39426.24877,1618789548.0684211,947206.0,2861.39,2960.57,2829.81,2890.03,450223.9073,1305282353.585495,690648.0,390.8,399.5,384.8,396.0,541479.78,213220417.4339,282212.0,17.901999999999997,18.24087194085268,19.584350736321078,17.901999999999997,16.21964926367892,53.11284290490889,0.1335996407620108,-0.1018621197685043,15.78980489252652,76.48606435568495,81.88972418711943,62.92214717383536,260.0,214.0
2022-03-22,18.75,20.48,18.68,20.21,8290773.03,164180480.4395,299893.0,41002.26,43361.0,40875.51,42364.13,59454.94294,2525975507.8012,1367343.0,2890.03,3052.85,2886.43,2969.64,564868.9839,1692559175.066055,920670.0,396.0,410.0,394.8,404.3,609034.607,246686059.4737,315030.0,17.981999999999996,18.42840794648576,19.923603461060004,17.981999999999996,16.040396538939987,60.78891986509621,0.2672311313637365,-0.0280434695420561,15.896637022065018,77.54772245872618,78.8657409773254,143.199631166436,454.0,459.0
