Open_time,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase
2023-04-04,9,10,11639
2023-04-05,1,2,12180
2023-04-06,3,2,9621
2023-04-07,3,2,8495
2023-04-08,4,3,5734
2023-04-09,1,2,5019
2023-04-10,4,9,8027
2023-04-11,3,5,12242
2023-04-12,6,6,13597
2023-04-13,8,7,13260
2023-04-14,6,4,21892
2023-04-15,5,7,12510
2023-04-16,1,0,10099
2023-04-17,4,5,14326
2023-04-18,5,10,17786
2023-04-19,18,2,31502
2023-04-20,2,4,22276
2023-04-21,6,4,20208
2023-04-22,1,2,7482
2023-04-23,5,4,7727
2023-04-24,5,6,8935
2023-04-25,1,5,8542
2023-04-26,20,21,17488
2023-04-27,4,8,11382
2023-04-28,7,4,8459
2023-04-29,1,2,7061
2023-04-30,0,1,7012
2023-05-01,6,1,11828
2023-05-02,3,3,9005
2023-05-03,5,15,8652
2023-05-04,1,3,6801
2023-05-05,4,3,10128
2023-05-06,8,7,9150
2023-05-07,0,0,6299
2023-05-08,20,16,17400
2023-05-09,4,2,10599
2023-05-10,40,17,17843
2023-05-11,45,24,16558
2023-05-12,18,33,17451
2023-05-13,27,22,7281
2023-05-14,18,5,7382
2023-05-15,2,16,10216
2023-05-16,3,5,10768
2023-05-17,17,15,12397
2023-05-18,17,12,12047
2023-05-19,18,14,10524
2023-05-20,16,3,9890
2023-05-21,2,7,10791
2023-05-22,5,0,14771
2023-05-23,14,6,11653
2023-05-24,14,14,15283
2023-05-25,13,10,17848
2023-05-26,8,46,12717
2023-05-27,3,3,7966
2023-05-28,31,14,9533
2023-05-29,15,24,10661
2023-05-30,14,8,12592
2023-05-31,15,21,18934
2023-06-01,15,15,19342
2023-06-02,8,11,12910
2023-06-03,18,1,8273
2023-06-04,22,9,8688
2023-06-05,19,24,19511
2023-06-06,10,24,16894
2023-06-07,13,45,17649
2023-06-08,2,3,11924
2023-06-09,13,34,13153
2023-06-10,96,113,52228
2023-06-11,27,16,17321
2023-06-12,8,23,19407
2023-06-13,14,21,16076
2023-06-14,27,27,18529
2023-06-15,47,68,25435
2023-06-16,20,13,17099
2023-06-17,14,5,12142
2023-06-18,28,6,12867
2023-06-19,12,11,10436
2023-06-20,48,51,13580
2023-06-21,61,82,17671
2023-06-22,44,35,13515
2023-06-23,47,39,15192
2023-06-24,4,10,8017
2023-06-25,9,9,10308
2023-06-26,13,0,11670
2023-06-27,5,3,7778
2023-06-28,4,9,9867
2023-06-29,13,10,12994
2023-06-30,27,16,17336
2023-07-01,6,3,10003
2023-07-02,13,8,11754
2023-07-03,11,6,11776
2023-07-04,4,5,10820
2023-07-05,16,4,11095
2023-07-06,5,11,11768
2023-07-07,8,0,10315
2023-07-08,5,4,7229
2023-07-09,6,3,6393
2023-07-10,10,9,9351
2023-07-11,6,12,7942
2023-07-12,4,2,10535
2023-07-13,26,24,24878
2023-07-14,58,23,28851
2023-07-15,6,2,12307
2023-07-16,3,5,11507
2023-07-17,10,12,14099
2023-07-18,8,7,13889
2023-07-19,7,8,11629
2023-07-20,12,13,13682
2023-07-21,23,16,17150
2023-07-22,6,11,9573
2023-07-23,4,3,8441
2023-07-24,12,11,11714
2023-07-25,7,9,9860
2023-07-26,9,8,10011
2023-07-27,16,4,9728
2023-07-28,2,2,8927
2023-07-29,0,4,6185
2023-07-30,4,6,7904
2023-07-31,5,1,9390
2023-08-01,3,9,11830
2023-08-02,8,5,8662
2023-08-03,3,2,9586
2023-08-04,1,0,9589
2023-08-05,1,4,5391
2023-08-06,0,4,6192
2023-08-07,8,8,8624
2023-08-08,18,13,8289
2023-08-09,6,3,8981
2023-08-10,1,3,7423
2023-08-11,5,2,7540
2023-08-12,3,3,4564
2023-08-13,3,4,4949
2023-08-14,3,4,7184
2023-08-15,7,8,12549
2023-08-16,31,36,22593
2023-08-17,45,29,29416
2023-08-18,15,18,21934
2023-08-19,4,2,8620
2023-08-20,6,5,7713
2023-08-21,8,22,12229
2023-08-22,6,6,16541
2023-08-23,19,12,15421
2023-08-24,26,9,10433
2023-08-25,15,15,9240
2023-08-26,6,5,5177
2023-08-27,9,3,6451
2023-08-28,35,25,11205
2023-08-29,79,33,14501
2023-08-30,26,59,11194
2023-08-31,26,129,17529
2023-09-01,14,40,15993
2023-09-02,9,5,7408
2023-09-03,17,22,6948
2023-09-04,41,17,9313
2023-09-05,41,19,9178
2023-09-06,37,31,10056
2023-09-07,79,12,9875
2023-09-08,23,24,8549
2023-09-09,17,6,6504
2023-09-10,23,13,10950
2023-09-11,119,105,19723
2023-09-12,44,16,13509
2023-09-13,24,71,11382
2023-09-14,41,10,10283
2023-09-15,10,5,9860
2023-09-16,41,21,8114
2023-09-17,4,8,7997
2023-09-18,6,11,12893
2023-09-19,14,11,10418
2023-09-20,14,9,9025
