Open,High,Close,Volume,Quote asset volume,Number of trades,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_BNBUSDT,RSI,ATR,total_trades_coinbase,sell_1000x_high,Tendencia
0.76604691,0.77581178,0.76320982,0.16624952,0.19359987,522275.0,0.07895178,0.30650567,813817.0,44.59648432,3.87610557,61657.0,160.0,Bajista leve
0.76325701,0.74859032,0.71437683,0.21731343,0.23771079,462814.0,0.12892471,0.4586873,773893.0,40.26807823,3.83924089,65166.0,125.0,Bajista fuerte
0.71403519,0.73517402,0.7400889,0.17573516,0.19412731,402824.0,0.12452721,0.44954508,861890.0,43.38392059,3.77429511,55989.0,97.0,Alcista fuerte
0.73954285,0.72447988,0.69025931,0.18352352,0.19832541,387815.0,0.10936821,0.40251408,849926.0,39.12448014,3.71041689,63745.0,76.0,Bajista fuerte
0.68992248,0.72467431,0.71397819,0.18651974,0.20292513,420429.0,0.10856694,0.41347726,1281222.0,42.04145614,3.65181568,59505.0,127.0,Alcista fuerte
0.71403519,0.6992028,0.61611289,0.44419838,0.41746059,731785.0,0.18546992,0.64189288,1595124.0,34.66145853,3.8159717,124643.0,183.0,Bajista fuerte
0.61579084,0.63114913,0.62807199,0.17103242,0.16730473,272723.0,0.06076713,0.22974196,834017.0,36.13677025,3.66411658,60935.0,156.0,Alcista fuerte
0.62794683,0.62589928,0.64003109,0.27220551,0.24654681,406960.0,0.08070776,0.29359481,850287.0,37.65282818,3.66239397,77980.0,225.0,Alcista fuerte
0.63970427,0.65856504,0.66673975,0.18847824,0.18858172,417415.0,0.09763958,0.37133309,866073.0,41.02031276,3.55293726,61736.0,137.0,Alcista fuerte
0.66660688,0.69395295,0.68368181,0.25319867,0.25527901,633558.0,0.19185456,0.72978563,1002401.0,43.11903341,3.58987031,70896.0,241.0,Alcista fuerte
0.68374484,0.68286992,0.65996293,0.17435955,0.18161955,385146.0,0.12603696,0.50630413,973369.0,40.92351147,3.51630814,84442.0,92.0,Bajista fuerte
0.65983141,0.64417655,0.63983178,0.13850825,0.14067445,308854.0,0.11024687,0.4321945,776160.0,39.10362266,3.38942899,71964.0,94.0,Bajista fuerte
0.63990355,0.64514875,0.59897152,0.23519839,0.22143333,450494.0,0.17362231,0.63694753,903964.0,35.63930027,3.45304121,87091.0,191.0,Bajista fuerte
0.59885216,0.58720591,0.512866,0.66800473,0.49112883,946882.0,0.29520827,0.94648736,1498320.0,29.67331766,3.88568112,183838.0,309.0,Bajista fuerte
0.5127638,0.50709703,0.49153894,0.30285957,0.22576188,397320.0,0.13392049,0.47133267,749846.0,28.40498802,3.8517039,102315.0,281.0,Bajista fuerte
0.49144098,0.49115302,0.48795121,0.43137615,0.30123315,533025.0,0.18729114,0.64117914,1152308.0,28.18672306,3.86801076,120264.0,371.0,Bajista leve
0.48765469,0.54112386,0.53518965,0.34576063,0.26898263,523750.0,0.10152668,0.3841783,807295.0,35.24242935,3.86315285,88384.0,372.0,Alcista fuerte
0.53488372,0.5244021,0.52203464,0.27035534,0.21132939,358512.0,0.10395229,0.39251729,805159.0,34.23371082,3.77364193,73235.0,313.0,Bajista fuerte
0.52212989,0.51468015,0.46343505,0.24271952,0.1840203,322649.0,0.11313708,0.41520297,772261.0,30.10068081,3.74195322,79712.0,167.0,Bajista fuerte
0.46354198,0.48162551,0.45426641,0.29643586,0.21237138,363700.0,0.1414632,0.48526818,730571.0,29.50055818,3.66895656,65416.0,266.0,Bajista fuerte
0.45417588,0.47676453,0.48157302,0.20821266,0.1555881,295702.0,0.10351771,0.35788839,649423.0,33.73774224,3.57617395,63441.0,224.0,Alcista fuerte
0.48167633,0.51448571,0.51605509,0.1435398,0.11552514,262481.0,0.05662147,0.21384173,476827.0,38.74439747,3.52144724,46674.0,242.0,Alcista fuerte
0.51595225,0.50962473,0.44469913,0.27577082,0.20295639,407130.0,0.13311939,0.43685906,678583.0,33.16064637,3.57920101,73700.0,211.0,Bajista fuerte
0.44480979,0.44818199,0.44848618,0.27232146,0.18879508,346210.0,0.09435033,0.31096573,832636.0,33.70670841,3.44568665,58821.0,450.0,Alcista leve
0.44819752,0.47384795,0.46821869,0.35632751,0.24655739,472465.0,0.13553004,0.44430303,798472.0,36.61259709,3.46813761,78344.0,465.0,Alcista fuerte
0.46812539,0.47015361,0.44589504,0.38360599,0.27085641,472704.0,0.08696049,0.30875101,562102.0,34.75645031,3.38398492,60480.0,803.0,Bajista fuerte
0.44580618,0.43846004,0.41838911,0.27120219,0.18176668,335540.0,0.11347263,0.37502086,636038.0,32.56572332,3.28870028,62930.0,390.0,Bajista fuerte
0.41830573,0.42893253,0.43533117,0.18835445,0.12897851,259813.0,0.07877995,0.2725771,429085.0,35.2719842,3.16165026,44420.0,241.0,Alcista fuerte
