Open_time,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Close_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,RSI,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_neg,Cantidad_neu,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,Tendencia
2021-10-07,0.54924206,0.47861608,1286323.00000000,0.76401718,0.74057720,0.73445295,0.67659447,0.67960371,0.67563075,0.67989562,0.11984385,0.36342706,1252503.00000000,0.52102497,0.52553007,0.53247617,0.52902519,0.24346828,0.32154617,736772.00000000,30.62850000,31.09115862,35.66888600,30.62850000,57.81545022,3.31068810,31.00000000,37.00000000,82810.00000000,113,22.00000000,40.00000000,145.00000000,639.00000000,759.00000000,Alcista
2021-10-08,0.29162790,0.26245111,489045.00000000,0.73445309,0.75514852,0.73766508,0.67989646,0.69042944,0.69160015,0.67351194,0.09671910,0.30116279,1084792.00000000,0.52890933,0.50735612,0.51496342,0.48674699,0.32203110,0.40985327,944084.00000000,30.55250000,31.30628637,35.37594638,30.55250000,56.00602588,3.17849609,31.00000000,22.00000000,57182.00000000,96,15.00000000,33.00000000,98.00000000,499.00000000,387.00000000,Bajista
2021-10-09,0.33107640,0.30871599,853574.00000000,0.73774716,0.74355130,0.75695774,0.67351280,0.67459463,0.69318404,0.67657789,0.08503403,0.26662939,1175683.00000000,0.48685940,0.47360450,0.51562846,0.49266156,0.12412380,0.16199000,455659.00000000,30.67650000,31.78473529,35.94008538,30.67650000,62.05535735,3.23003209,25.00000000,35.00000000,74042.00000000,100,18.00000000,38.00000000,23.00000000,440.00000000,594.00000000,Alcista
2021-10-10,0.34786019,0.33156975,784594.00000000,0.75695789,0.76390453,0.75133937,0.67658136,0.66641331,0.65846104,0.63445716,0.14622437,0.43256205,1765439.00000000,0.49255366,0.46559931,0.48459322,0.45366922,0.14614976,0.18566619,500068.00000000,30.98250000,32.03666526,36.37030800,30.98250000,56.70190595,3.23645836,38.00000000,27.00000000,68739.00000000,97,17.00000000,45.00000000,12.00000000,557.00000000,431.00000000,Bajista
2021-10-11,0.30092761,0.27908847,469155.00000000,0.75133971,0.78815678,0.80569003,0.63445812,0.67163880,0.64958915,0.66800163,0.12192341,0.36486292,1110340.00000000,0.45335085,0.46927737,0.47971625,0.47338445,0.15306707,0.19355087,509680.00000000,31.36950000,32.23603047,36.48736469,31.36950000,55.88215846,3.20813991,5.00000000,25.00000000,60922.00000000,175,38.00000000,69.00000000,52.00000000,510.00000000,412.00000000,Lateral
2021-10-12,0.35285728,0.31273481,620021.00000000,0.80569019,0.78513808,0.77719582,0.66800250,0.65139927,0.65799396,0.65471498,0.09833915,0.29446276,925699.00000000,0.47349978,0.51363046,0.46286854,0.54151150,0.42635056,0.53178922,953219.00000000,31.54800000,32.51545614,36.92789071,31.54800000,58.14140611,3.21898706,18.00000000,16.00000000,67722.00000000,128,24.00000000,39.00000000,82.00000000,425.00000000,463.00000000,Alcista
2021-10-13,1.00000000,1.00000000,2504028.00000000,0.77719558,0.78697922,0.80367339,0.65470801,0.66878853,0.66047026,0.68512792,0.09387872,0.28364694,902525.00000000,0.54117389,0.57269580,0.55176236,0.59978094,0.74718565,1.00000000,1576761.00000000,31.96200000,33.38922223,38.90003027,31.96200000,68.89546179,3.67834513,69.00000000,118.00000000,160524.00000000,144,26.00000000,60.00000000,113.00000000,817.00000000,1083.00000000,Alcista
2021-10-14,0.54425307,0.58098989,1204347.00000000,0.80374757,0.80131992,0.80330504,0.68512613,0.72447428,0.70570123,0.73322842,0.11866437,0.37580193,1430307.00000000,0.59943057,0.59649502,0.61582798,0.60394304,0.30511526,0.43103378,845772.00000000,32.45800000,34.08643916,40.34361881,32.45800000,66.14474332,3.64489190,33.00000000,38.00000000,120253.00000000,160,27.00000000,65.00000000,100.00000000,606.00000000,501.00000000,Bajista
2021-10-15,0.59754529,0.64406754,1533664.00000000,0.80330520,0.88484388,0.88687869,0.73322912,0.74658232,0.74433569,0.75373015,0.12495042,0.40506890,1399937.00000000,0.60381078,0.58610991,0.59277322,0.60788609,0.32252698,0.44825992,882619.00000000,33.13100000,34.96201638,42.20858756,33.13100000,69.57536364,3.72668534,30.00000000,42.00000000,129734.00000000,310,41.00000000,126.00000000,111.00000000,469.00000000,529.00000000,Alcista
2021-10-16,0.36254263,0.41189356,821141.00000000,0.88687886,0.87431755,0.87147900,0.75357081,0.76326957,0.76246044,0.74349371,0.08834727,0.30050715,1037769.00000000,0.60775296,0.60060580,0.53114609,0.58882804,0.21660405,0.30901540,718791.00000000,33.77650000,35.60849101,43.36351262,33.77650000,65.33103436,3.71192210,20.00000000,30.00000000,92044.00000000,122,20.00000000,43.00000000,46.00000000,470.00000000,361.00000000,Bajista
