Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,SlowK,SlowD,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Tweets_Utilizados_referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance,Tendencia
2022-11-06,7.03000000,7.15000000,6.79000000,6.81000000,5716020.12000000,40108693.03130000,50810.00000000,21299.37000000,21365.27000000,20886.13000000,20905.58000000,230036.97217000,5268210.00000000,1626.98000000,1639.02000000,1564.39000000,1568.29000000,414863.95250000,668569491.57751298,545053.00000000,349.10000000,356.00000000,337.70000000,337.90000000,390974.87900000,136745098.03470001,297770.00000000,6.37050000,6.50192146,7.09549586,6.37050000,5.64550414,58.34324209,0.13529999,0.05906449,83.76160068,77.62001082,0.32057970,16.00000000,11.00000000,33318.00000000,47,0.00000000,15.00000000,16.00000000,1.49270000,96,54.00000000,20.00000000,22.00000000,20.85390000,1.00000000,18.00000000,661.00000000,590.00000000,37000.00000000,Bajista
2022-11-07,6.81000000,7.42000000,6.65000000,7.12000000,9474204.99000000,66713522.48580000,93878.00000000,20905.58000000,21069.77000000,20384.89000000,20591.13000000,386977.60337000,8344242.00000000,1568.25000000,1608.04000000,1545.03000000,1568.10000000,642409.44940000,1013046543.98043883,851962.00000000,337.80000000,344.40000000,326.40000000,337.00000000,740465.51200000,248017900.26220000,460314.00000000,6.41850000,6.56078608,7.20583157,6.41850000,5.63116843,63.82438375,0.16626723,0.08050504,78.46022087,81.06181728,0.35268115,13.00000000,18.00000000,30191.00000000,72,0.00000000,30.00000000,13.00000000,6.03020000,103,64.00000000,16.00000000,23.00000000,30.56170000,2.00000000,48.00000000,965.00000000,944.00000000,22000.00000000,Alcista
2022-11-08,7.12000000,7.20000000,5.86000000,6.30000000,17011590.68000000,110597386.28320000,210506.00000000,20590.67000000,20700.88000000,17166.83000000,18547.23000000,760705.36278300,14530601.00000000,1568.09000000,1579.98000000,1233.00000000,1334.77000000,2339916.50890000,3356475001.54590464,2874276.00000000,337.00000000,398.30000000,298.00000000,327.40000000,3103916.38400000,1055852274.31169999,1739886.00000000,6.42850000,6.53594931,7.20439368,6.42850000,5.65260632,46.42382125,0.12322142,0.08904831,59.41748583,73.87976913,0.42320393,52.00000000,81.00000000,75727.00000000,156,0.00000000,56.00000000,39.00000000,3.32130000,103,60.00000000,18.00000000,25.00000000,26.89270000,8.00000000,71.00000000,1515.00000000,1382.00000000,22000.00000000,Bajista
2022-11-09,6.30000000,6.38000000,5.34000000,5.41000000,15523101.01000000,93168867.27795000,221640.00000000,18545.38000000,18587.76000000,15588.00000000,15922.81000000,731926.92972900,13605474.00000000,1334.78000000,1337.16000000,1073.53000000,1102.73000000,2494797.93570000,3021176147.39616060,3172468.00000000,327.40000000,333.10000000,260.20000000,267.30000000,1901075.89900000,567664075.68219995,1257192.00000000,6.40450000,6.42871605,7.27005127,6.40450000,5.53894873,35.20510548,0.01709469,0.07465759,37.32088989,58.39953220,0.46726079,102.00000000,56.00000000,130430.00000000,273,0.00000000,95.00000000,74.00000000,7.45940000,125,75.00000000,24.00000000,26.00000000,33.60340000,2.00000000,55.00000000,1302.00000000,1013.00000000,33000.00000000,Bajista
2022-11-10,5.42000000,6.18000000,5.32000000,5.97000000,12598434.37000000,72920076.28420000,156206.00000000,15922.68000000,18199.00000000,15754.26000000,17601.15000000,608448.36432000,12719887.00000000,1102.73000000,1350.00000000,1085.93000000,1299.28000000,1975955.67670000,2443394252.53036499,2800795.00000000,267.10000000,313.00000000,263.20000000,304.00000000,1411238.91000000,406358146.76389998,1001855.00000000,6.41100000,6.38502880,7.26131524,6.41100000,5.56068476,44.32239072,-0.02157549,0.05541097,20.84096459,39.19311344,0.49531359,74.00000000,44.00000000,45227.00000000,196,0.00000000,76.00000000,54.00000000,-6.21010000,79,43.00000000,17.00000000,19.00000000,14.40190000,2.00000000,121.00000000,1099.00000000,912.00000000,14000.00000000,Alcista
2022-11-11,5.97000000,6.05000000,5.50000000,5.75000000,8907098.41000000,50987474.98920000,95844.00000000,17602.45000000,17695.00000000,16361.60000000,17070.31000000,393552.86492000,9900073.00000000,1299.28000000,1310.00000000,1201.26000000,1289.28000000,1308087.14980000,1652414528.52089071,2118330.00000000,304.10000000,306.00000000,279.00000000,290.40000000,695145.64100000,202402540.82519999,573830.00000000,6.40600000,6.32454987,7.27050911,6.40600000,5.54149089,41.83207993,-0.06917661,0.03049346,18.26465201,25.47550217,0.49921976,44.00000000,50.00000000,33106.00000000,201,0.00000000,73.00000000,51.00000000,4.82680000,120,71.00000000,19.00000000,30.00000000,31.06580000,5.00000000,72.00000000,824.00000000,713.00000000,18000.00000000,Bajista
2022-11-12,5.75000000,5.88000000,5.56000000,5.77000000,3603570.50000000,20690424.14100000,47555.00000000,17069.98000000,17119.10000000,16631.39000000,16812.08000000,167819.96035000,5046837.00000000,1289.35000000,1292.16000000,1238.70000000,1257.25000000,547772.91720000,693031301.59888899,933438.00000000,290.40000000,294.50000000,271.60000000,282.80000000,545359.35500000,154906443.46210000,379895.00000000,6.39600000,6.27173560,7.28473843,6.39600000,5.50726157,42.15029702,-0.10408716,0.00357733,24.28571429,21.13044363,0.48641835,48.00000000,67.00000000,25546.00000000,222,0.00000000,81.00000000,56.00000000,4.11530000,101,55.00000000,18.00000000,28.00000000,22.68010000,2.00000000,54.00000000,271.00000000,384.00000000,17000.00000000,Lateral
2022-11-13,5.78000000,5.97000000,5.62000000,5.75000000,5069240.31000000,29401654.65500000,75777.00000000,16813.16000000,16954.28000000,16229.00000000,16329.85000000,184960.78846000,5382834.00000000,1257.25000000,1274.23000000,1200.66000000,1221.49000000,547410.53040000,676891239.24415898,896665.00000000,282.90000000,286.50000000,273.20000000,276.40000000,442278.92100000,123589124.73210000,403102.00000000,6.38750000,6.22204649,7.29728844,6.38750000,5.47771156,41.90342370,-0.13184799,-0.02350773,20.79365079,21.11467236,0.47667418,90.00000000,45.00000000,29090.00000000,195,0.00000000,63.00000000,51.00000000,10.56790000,138,54.00000000,40.00000000,44.00000000,11.35470000,4.00000000,32.00000000,481.00000000,475.00000000,17000.00000000,Lateral
2022-11-14,5.75000000,5.90000000,5.44000000,5.86000000,5738361.29000000,32677149.51030000,87296.00000000,16331.78000000,17190.00000000,15815.21000000,16619.46000000,380210.77750000,9215128.00000000,1221.50000000,1291.20000000,1171.13000000,1243.28000000,934742.00590000,1152982945.60203195,1471485.00000000,276.40000000,292.00000000,268.00000000,279.00000000,818725.89700000,227994916.62599999,570233.00000000,6.35900000,6.18756587,7.29695309,6.35900000,5.42104691,43.85129665,-0.14332047,-0.04747028,22.53968254,22.53968254,0.47548317,25.00000000,84.00000000,27840.00000000,192,0.00000000,67.00000000,51.00000000,2.91530000,134,72.00000000,27.00000000,35.00000000,29.64070000,5.00000000,66.00000000,495.00000000,421.00000000,18000.00000000,Alcista
2022-11-15,5.87000000,6.05000000,5.80000000,5.92000000,3301786.70000000,19605611.79470000,49789.00000000,16617.72000000,17134.69000000,16527.72000000,16900.57000000,282461.84391000,7200265.00000000,1243.29000000,1291.00000000,1234.01000000,1253.23000000,632825.56800000,798023541.20805204,961779.00000000,279.00000000,282.40000000,273.20000000,277.00000000,445565.66400000,123903312.16490000,331878.00000000,6.33150000,6.16208341,7.28691143,6.33150000,5.37608857,44.93577985,-0.14588926,-0.06715408,24.92063492,22.75132275,0.45937723,4.00000000,3.00000000,19962.00000000,146,0.00000000,58.00000000,34.00000000,-2.11460000,132,74.00000000,25.00000000,33.00000000,28.49990000,3.00000000,31.00000000,307.00000000,330.00000000,16000.00000000,Lateral
2022-11-16,5.92000000,6.00000000,5.61000000,5.71000000,3209428.37000000,18614513.40250000,52048.00000000,16900.57000000,17015.92000000,16378.61000000,16662.76000000,261493.40809000,6297404.00000000,1253.22000000,1268.67000000,1187.06000000,1216.17000000,673339.72150000,826025937.83629107,969295.00000000,277.00000000,280.20000000,268.80000000,271.80000000,402896.79900000,110278982.51050000,283812.00000000,6.30000000,6.11902785,7.29301561,6.30000000,5.30698439,41.88641745,-0.16299143,-0.08632155,24.28571429,23.91534392,0.45442171,4.00000000,0.00000000,18213.00000000,185,0.00000000,55.00000000,53.00000000,12.31570000,84,38.00000000,18.00000000,28.00000000,14.25420000,1.00000000,24.00000000,249.00000000,278.00000000,13000.00000000,Bajista
2022-11-17,5.70000000,5.73000000,5.56000000,5.67000000,2822106.06000000,15982272.43990000,32590.00000000,16661.61000000,16751.00000000,16410.74000000,16692.56000000,228038.97873000,5352083.00000000,1216.16000000,1228.22000000,1181.05000000,1200.43000000,530537.34880000,638342419.85593104,719509.00000000,271.90000000,273.50000000,262.90000000,267.90000000,367805.83000000,98606467.46810000,246309.00000000,6.25750000,6.07626329,7.28148975,6.25750000,5.23351025,41.31135948,-0.17772400,-0.10460204,21.26984127,23.49206349,0.43410588,7.00000000,1.00000000,23551.00000000,153,0.00000000,54.00000000,45.00000000,0.23240000,106,59.00000000,29.00000000,18.00000000,20.73000000,4.00000000,28.00000000,356.00000000,320.00000000,9000.00000000,Lateral
