Open_time,Volume,Quote asset volume,Number of trades,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,RSI,SlowK,SlowD,total_trades_coinbase,Compound total coin,Buy_1000x_high,sell_1000x_high,Tendencia
2021-11-08,7797418.81,412988422.6074,549923.0,1850800839.6928568,1344244.0,1290096.384,829833782.4209,1107452.0,68.66558888,84.40105756,83.31638533,87065.0,58.6885,177.0,158.0,Alcista
2021-11-09,10322506.13,536088035.3527,687062.0,1489567265.669691,995668.0,879119.398,565719151.0885,913767.0,61.05709148,81.87919463,82.47576435,95230.0,47.2856,205.0,133.0,Bajista
2021-11-10,19625912.74,955283652.7733,1301900.0,2600175501.1604886,1492374.0,1814654.086,1144508386.2603,1566685.0,51.44441506,69.50055476,78.59360232,156145.0,37.5393,401.0,249.0,Bajista
2021-11-11,9323684.55,445829246.2323,866544.0,1425610198.742417,909164.0,1019740.949,635981486.4901,964876.0,52.83013109,54.90816484,68.76263808,102407.0,54.3169,210.0,165.0,Lateral
2021-11-12,10700975.88,491599417.9078,872012.0,2146130116.8717673,1206412.0,1012909.088,628792038.9268,808543.0,49.48425792,41.91704347,55.44192102,98614.0,39.2741,282.0,188.0,Bajista
2021-11-13,6068714.1,279926960.7247,498287.0,1026142451.546252,731125.0,900107.757,574247361.3526,837297.0,51.97290835,41.14583333,45.99034721,62449.0,22.9241,148.0,168.0,Alcista
2021-11-14,4667465.13,215921873.1091,375059.0,1126786539.405778,623491.0,933689.139,605300515.2465,849977.0,50.41825799,37.59867509,40.2205173,53884.0,34.1596,135.0,53.0,Lateral
2021-11-15,6580865.03,304443112.8668,454265.0,1752738875.791921,1061676.0,953989.634,615298900.6627,1026712.0,46.82472426,32.03203144,36.92551329,66974.0,36.3413,181.0,173.0,Bajista
2021-11-16,19699792.9,819109093.7468998,1104386.0,3163788841.066021,1741259.0,2200954.903,1320193365.0954,1606754.0,39.47432656,23.06115173,30.89728609,167608.0,37.5895,392.0,294.0,Bajista
2021-11-17,11336082.44,461011878.4366,789733.0,1980248927.7112312,1146593.0,1453408.555,832762537.5206999,931271.0,44.06957727,20.50878563,25.20065627,92010.0,51.4254,250.0,195.0,Alcista
2021-11-18,14653376.83,588692131.8966,856633.0,2387588164.850108,1319866.0,1750338.428,965930426.1507,1064211.0,38.01578157,17.54750523,20.37248087,109018.0,52.3301,307.0,232.0,Bajista
2021-11-19,8936329.85,359833271.3261,624573.0,1740904041.283998,984517.0,1300787.958,726611378.2375998,899077.0,43.02327487,19.74013348,19.26547478,84426.0,49.4721,150.0,142.0,Alcista
2021-11-20,5821401.36,239855623.2678,392290.0,1577172914.216076,888090.0,1119517.131,657161664.3158,879969.0,44.88908618,19.93984536,19.07582802,52159.0,40.259,144.0,144.0,Alcista
2021-11-21,6646315.92,278048692.575,522275.0,1479842945.950397,836925.0,970133.807,572049351.412,813817.0,44.59648432,25.8873929,21.85579058,61657.0,41.5416,128.0,160.0,Lateral
2021-11-22,8474290.45,340615758.3476,462814.0,2167112891.8657327,1162581.0,1141002.755,650028588.5166,773893.0,40.26807823,22.43843134,22.7552232,65166.0,47.8114,159.0,125.0,Bajista
