Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2022-03-20,17.90950000,18.18833215,19.60798727,17.90950000,16.21101273,52.58514492,0.11076673,-0.16072756,16.87247333,82.56343612,85.92331818,80.83325407,1.25969794,63.39678777
2022-03-21,17.90200000,18.24087194,19.58435074,17.90200000,16.21964926,53.11284290,0.13359964,-0.10186212,15.78980489,76.48606436,81.88972419,62.92214717,1.21686237,65.35959272
2022-03-22,17.98200000,18.42840795,19.92360346,17.98200000,16.04039654,60.78891987,0.26723113,-0.02804347,15.89663702,77.54772246,78.86574098,143.19963117,1.25851506,66.74148874
2022-03-23,18.13200000,18.67522624,20.48262205,18.13200000,15.78137795,64.26093036,0.43349818,0.06426486,16.49402033,86.75013765,80.26130815,182.63364366,1.26362113,68.23228585
2022-03-24,18.35550000,18.92139517,20.98652623,18.35550000,15.72447377,65.24296290,0.57796954,0.16700580,17.31463243,95.14440725,86.48075578,180.02001334,1.26264819,74.93800619
2022-03-25,18.51550000,19.07459563,21.26418314,18.51550000,15.76681686,59.85551472,0.62633919,0.25887248,17.98599435,90.32764311,90.74072934,122.44826987,1.25817332,66.35426524
2022-03-26,18.71150000,19.24939604,21.55454256,18.71150000,15.86845744,61.63161846,0.68741125,0.34458023,18.60940186,86.78124278,90.75109771,101.73865797,1.22544665,65.16475705
2022-03-27,19.01400000,19.55516785,22.09096864,19.01400000,15.93703136,67.87498173,0.85107272,0.44587873,20.18964690,88.32278994,88.47722528,143.88936977,1.26434332,71.39497102
2022-03-28,19.26500000,19.78705663,22.45113559,19.26500000,16.07886441,64.45029480,0.93210580,0.54312414,22.11599013,88.39544859,87.83316044,142.92902901,1.28474737,78.50980321
2022-03-29,19.49300000,20.03781314,22.88998749,19.49300000,16.09601251,66.13386809,1.01927296,0.63835391,23.90473740,87.38756837,88.03526897,123.14943902,1.27369399,79.75750951
2022-03-30,19.76750000,20.26754522,23.18856343,19.76750000,16.34643657,66.25394418,1.07834384,0.72635189,25.24902164,81.86819723,85.88373806,105.25570595,1.28128727,69.73138614
2022-03-31,19.94950000,20.36873139,23.29558114,19.94950000,16.60341886,57.98769940,1.02299089,0.78567969,25.71220842,76.16021095,81.80532551,68.08421053,1.33119533,61.12008624
2022-04-01,20.14600000,20.53075697,23.50550234,20.14600000,16.78649766,61.41326970,1.02699652,0.83394306,25.49628178,73.15522801,77.06121206,47.09174798,1.34825280,58.42460991
2022-04-02,20.41550000,20.72878012,23.65551528,20.41550000,17.17548472,63.73690523,1.06150809,0.87945606,26.43104255,71.32187149,73.54577015,105.96869617,1.38766332,61.37498845
2022-04-03,20.69100000,20.96508677,23.89742418,20.69100000,17.48457582,66.17426398,1.12431337,0.92842752,27.29903469,80.22801122,74.90170357,112.30006398,1.36425879,66.34133714
2022-04-04,20.94500000,21.14841184,23.99953433,20.94500000,17.89046567,63.71459355,1.13518002,0.96977802,26.97284232,82.42168963,77.99052411,71.40435701,1.38324031,63.71587147
2022-04-05,21.08150000,21.20856309,24.02715629,21.08150000,18.13584371,55.94643779,1.04221025,0.98426447,26.66994941,72.85903475,78.50291187,31.94795564,1.38729457,57.29718694
2022-04-06,21.13650000,21.07917613,23.94379959,21.13650000,18.32920041,45.54801491,0.80353353,0.94811828,25.09702601,44.56728867,66.61600435,-135.35962571,1.43891639,49.79016270
2022-04-07,21.20900000,21.01449269,23.85706269,21.20900000,18.56093731,48.48638905,0.65125367,0.88874536,23.84578241,24.62048016,47.34893453,-143.02759135,1.42185093,44.10189056
2022-04-08,21.21050000,20.86358863,23.85449300,21.21050000,18.56650700,43.97893025,0.44714547,0.80042538,22.93454372,10.37655471,26.52144118,-157.68389609,1.42314729,44.70440817
2022-04-09,21.26550000,20.75753257,23.73409859,21.26550000,18.79690141,45.77000781,0.30766304,0.70187291,22.08839351,13.56639645,16.18781044,-141.84772251,1.36006534,42.08619525
2022-04-10,21.28950000,20.61110089,23.66707418,21.28950000,18.91192582,43.30073627,0.15259659,0.59201765,20.85597120,6.93559802,10.29284973,-114.52805917,1.34077496,37.52428540
2022-04-11,21.13900000,20.28623414,24.08416485,21.13900000,18.19383515,35.45068224,-0.13177281,0.44725956,21.32727444,5.85646319,8.78615255,-161.67550862,1.40857675,28.80816794
2022-04-12,20.97650000,20.04659279,24.26824285,20.97650000,17.68475715,38.82112548,-0.30759758,0.29628813,21.76491316,5.28636591,6.02614237,-137.48511674,1.37082127,21.22458650
2022-04-13,20.82350000,19.87072681,24.32602066,20.82350000,17.32097934,41.31074093,-0.40754465,0.15552157,21.87891283,10.55961071,7.23414660,-107.29963609,1.33933404,26.10330121
2022-04-14,20.69250000,19.68399093,24.41801674,20.69250000,16.96698326,40.12481370,-0.50434027,0.02354921,21.77871749,14.01459854,9.95352505,-93.30988864,1.31581018,28.01505796
2022-04-15,20.56400000,19.55599179,24.42545258,20.56400000,16.70254742,42.74922309,-0.54012784,-0.08918620,21.68567896,16.78832117,13.78751014,-73.67035722,1.26825231,33.05152014
2022-04-16,20.37150000,19.46589734,24.21951910,20.37150000,16.52348090,44.39723773,-0.54047277,-0.17944352,21.26289536,19.11734752,16.64008908,-54.27526720,1.21552000,23.44013717
2022-04-17,20.15900000,19.30152616,24.09443848,20.15900000,16.22356152,40.36517997,-0.60398549,-0.26435191,21.32153686,18.64846022,18.18470964,-64.26514734,1.21155428,12.14982256
2022-04-18,19.94550000,19.19185700,23.83010281,19.94550000,16.06089719,42.99272614,-0.61415659,-0.33431285,21.81399797,18.39139552,18.71906775,-66.15961870,1.21501469,12.97890950
2022-04-19,19.76700000,19.16215634,23.49999397,19.76700000,16.03400603,47.43373132,-0.55689284,-0.37882885,21.49617088,23.22433623,20.08806399,-7.77714856,1.19394221,19.20638602
2022-04-20,19.65500000,19.15528430,23.32762032,19.65500000,15.98237968,48.67247777,-0.48892959,-0.40084899,20.52223508,38.35175767,26.65582981,40.44503868,1.18008920,30.11881203
2022-04-21,19.46050000,19.06240008,23.01092237,19.46050000,15.91007763,43.85018589,-0.50270278,-0.42121975,20.08656795,43.07510573,34.88373321,13.09068429,1.21365426,30.57099363
2022-04-22,19.24400000,18.98788579,22.51704995,19.24400000,15.97095005,44.50091340,-0.49978772,-0.43693334,19.68201990,43.20192774,41.54293038,-15.99218785,1.15982181,31.32375032
2022-04-23,19.01800000,18.95951572,21.74272090,19.01800000,16.29327910,47.20258195,-0.45910170,-0.44136702,18.43170624,41.44850308,42.57517885,47.28040266,1.17054882,37.12743629
2022-04-24,18.78200000,18.88432374,20.86686546,18.78200000,16.69713454,44.25978878,-0.46347475,-0.44578856,17.27070070,45.01377727,43.22140269,39.94314144,1.16479534,37.73596841
2022-04-25,18.59800000,18.80962624,20.18124477,18.59800000,17.01475523,43.86335088,-0.46720320,-0.45007149,17.15294646,44.80546878,43.75591638,-87.86373314,1.16230995,39.36107958
2022-04-26,18.43950000,18.60680470,20.12129042,18.43950000,16.75770958,36.68493557,-0.57807646,-0.47567248,17.65149652,30.31766390,40.04563665,-194.88491049,1.21785924,38.97557491
2022-04-27,18.26650000,18.44806139,19.81236254,18.26650000,16.72063746,38.66422947,-0.63761446,-0.50806088,18.11443586,21.25322997,32.12545422,-185.09497319,1.18729787,32.30384045
2022-04-28,18.14450000,18.30919840,19.68894132,18.14450000,16.60005868,39.05877376,-0.67300618,-0.54104994,18.31966318,14.32926829,21.96672072,-130.90462016,1.15106231,39.34800149
2022-04-29,17.96650000,18.10736998,19.54986698,17.96650000,16.38313302,35.16155588,-0.75688281,-0.58421651,19.15775857,13.29042457,16.29097428,-157.78310074,1.14598643,34.07023256
2022-04-30,17.73050000,17.76381094,19.82175297,17.73050000,15.63924703,28.65662697,-0.94878749,-0.65713071,21.07193675,9.74201363,12.45390217,-206.93632485,1.22627311,28.46440329
2022-05-01,17.63850000,17.53487656,19.96380665,17.63850000,15.31319335,35.22390858,-1.01972378,-0.72964932,22.84938791,10.89759382,11.31001068,-151.09141107,1.21368218,34.82422799
2022-05-02,17.49800000,17.28965022,20.09790461,17.49800000,14.89809539,33.67138158,-1.09558869,-0.80283720,24.39463509,13.81818182,11.48592976,-125.61765094,1.20127631,34.99593488
2022-05-03,17.32400000,17.04492163,20.16711379,17.32400000,14.48088621,32.73898064,-1.16168697,-0.87460715,25.85398995,15.15151515,13.28909693,-116.47833262,1.16618514,29.68987352
2022-05-04,17.24550000,16.97778624,20.10620254,17.24550000,14.38479746,44.00951380,-1.07100400,-0.91388652,25.58553477,21.09090909,16.68686869,-55.33489097,1.20360049,29.43618671
2022-05-05,17.05750000,16.74942564,20.09454379,17.05750000,14.02045621,36.79576258,-1.12814978,-0.95673917,25.82636411,19.91919192,18.72053872,-83.30404218,1.29120045,28.07870565
2022-05-06,16.84300000,16.51805177,20.01417076,16.84300000,13.67182924,35.86062018,-1.18080645,-1.00155263,26.20315822,19.76001776,20.25670626,-106.87423922,1.26040042,27.34057909
2022-05-07,16.64350000,16.25442779,20.05664093,16.64350000,13.23035907,33.83070813,-1.25407527,-1.05205716,26.87350937,8.91048798,16.19656589,-116.25394652,1.24322896,21.67309730
2022-05-08,16.39850000,15.96829181,20.03974855,16.39850000,12.75725145,32.11348513,-1.33707421,-1.10906057,27.72101424,6.73597448,11.80216007,-128.55089190,1.21514118,20.97501567
2022-05-09,15.98550000,15.45893069,20.23085735,15.98550000,11.74014265,24.94189472,-1.59666512,-1.20658148,29.76320846,4.09070575,6.57905607,-211.95484760,1.34120252,18.90939763
