Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2023-02-09,22961.85000000,23011.39000000,21688.00000000,21796.35000000,402894.69550000,9052973327.19716240,9784291,1650.42000000,1656.17000000,1524.40000000,1545.35000000,658011.69640000,1054014372.58339200,973879,328.20000000,329.30000000,302.00000000,306.20000000,564612.57200000,178897753.69560000,347884
2023-02-10,21797.83000000,21938.16000000,21451.00000000,21625.19000000,338591.94247000,7369456394.90665450,6993675,1545.35000000,1555.01000000,1490.00000000,1513.06000000,484654.21990000,743164643.51149900,682215,306.20000000,309.20000000,302.50000000,305.80000000,295784.97600000,90651947.93410000,216851
2023-02-11,21625.19000000,21906.32000000,21599.78000000,21862.55000000,177021.58433000,3842000897.79758020,4207940,1513.05000000,1543.00000000,1505.00000000,1538.51000000,289691.57080000,440657107.72833800,440506,305.90000000,311.40000000,305.10000000,310.40000000,154488.76100000,47628388.94480000,134396
2023-02-12,21862.02000000,22090.00000000,21630.00000000,21783.54000000,204435.65163000,4469822441.43720180,4561903,1538.50000000,1548.02000000,1493.08000000,1514.83000000,286758.37400000,438014692.30803400,490609,310.50000000,321.00000000,306.00000000,312.60000000,291500.27000000,91485948.21070000,197310
2023-02-13,21782.37000000,21894.99000000,21351.07000000,21773.97000000,295730.76791000,6404813758.26962980,6503611,1514.82000000,1526.10000000,1461.93000000,1505.24000000,643152.39040000,959644223.33507300,788402,312.60000000,315.70000000,282.80000000,294.30000000,1065985.59400000,314960864.80880000,466340
2023-02-14,21774.63000000,22319.08000000,21532.77000000,22199.84000000,361958.40109000,7938385476.79208380,7695927,1505.25000000,1569.00000000,1482.66000000,1555.71000000,668964.37680000,1021642935.31397500,861338,294.30000000,301.70000000,289.80000000,296.20000000,494698.65400000,145777145.53910000,271930
2023-02-15,22199.84000000,24380.00000000,22047.28000000,24324.05000000,375669.16111000,8604133693.66317090,8335550,1555.70000000,1680.00000000,1542.55000000,1674.92000000,581207.85860000,928452953.94504900,852734,296.20000000,317.70000000,294.00000000,317.40000000,465921.94300000,142051141.65700000,261857
2023-02-16,24322.87000000,25250.00000000,23505.25000000,23517.72000000,450080.68366000,11074988148.77900860,11006793,1674.92000000,1742.97000000,1633.72000000,1637.84000000,832723.67310000,1408096156.86621600,1220762,317.50000000,327.80000000,303.90000000,304.40000000,858141.89000000,273631508.40290000,477037
2023-02-17,23517.72000000,25021.11000000,23339.37000000,24569.97000000,496813.21376000,11968532252.05732940,10895009,1637.83000000,1722.00000000,1630.51000000,1693.87000000,579934.66300000,970891863.05829500,940022,304.40000000,317.50000000,302.80000000,313.00000000,508736.19300000,157933829.21780000,314781
2023-02-18,24568.24000000,24877.00000000,24430.00000000,24631.95000000,216917.25213000,5339920389.51613350,6296097,1693.81000000,1713.13000000,1679.77000000,1691.62000000,267305.78130000,452969773.61025000,457982,313.00000000,319.20000000,312.90000000,316.50000000,282485.39000000,89264567.98370000,210115
