Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance,Tendencia
2023-06-27,0.02740081,0.02904919,0.02952796,0.02884136,0.05192017,0.00672956,40479.00000000,0.27996582,0.27863661,0.29066436,0.28816857,0.04486716,0.06130509,824373.00000000,0.22656221,0.22001151,0.25405693,0.23458830,0.08635915,0.13180093,437184.00000000,0.08563294,0.07291216,0.11327865,0.08871851,0.06255462,0.04302968,161086.00000000,4.74480000,4.89989567,5.25808495,4.74480000,4.23151505,55.68677388,-0.01371097,-0.10098552,23.39926477,85.48939083,87.61271198,89.44042733,0.23028891,56.07021437,5.00000000,3.00000000,7778.00000000,pos,175,0.00000000,35.00000000,51.00000000,30.43590000,pos,113,62.00000000,17.00000000,34.00000000,31.31470000,pos,1.00000000,0.00000000,0.00000000,0.00000000,0.31820000,9.00000000,107.00000000,104.00000000,27000.00000000,1
2023-06-28,0.02881569,0.02797978,0.02436314,0.02451615,0.07598260,0.00951687,53117.00000000,0.28816862,0.27322274,0.28342503,0.27628268,0.04189254,0.05653568,895470.00000000,0.23459031,0.21411568,0.24397690,0.21844290,0.07828759,0.11751931,437585.00000000,0.08869908,0.06598875,0.09133230,0.07360350,0.12665586,0.08474037,257544.00000000,4.73760000,4.89790561,5.23897507,4.73760000,4.23622493,48.31233368,-0.01551388,-0.08389119,21.94826960,74.70910335,81.92827694,36.41024202,0.23905399,49.51039436,4.00000000,9.00000000,9867.00000000,pos,43,0.00000000,4.00000000,18.00000000,7.53010000,pos,133,75.00000000,13.00000000,45.00000000,36.91400000,pos,3.00000000,0.00000000,0.00000000,0.00000000,1.55510000,11.00000000,112.00000000,91.00000000,18000.00000000,-1
2023-06-29,0.02455112,0.03064359,0.02691469,0.02662893,0.11528173,0.01469725,82256.00000000,0.27628254,0.27577071,0.28719239,0.28343126,0.03639473,0.04978767,758428.00000000,0.21844757,0.21142640,0.24692028,0.22472953,0.05138280,0.07817573,350823.00000000,0.07358739,0.06404154,0.10418976,0.07907996,0.06068989,0.04067072,158038.00000000,4.73775000,4.90620031,5.23941916,4.73775000,4.23608084,51.67859168,-0.00829378,-0.06877171,20.85582569,73.33756712,77.84535377,62.10603152,0.24812156,61.14462077,13.00000000,10.00000000,12994.00000000,pos,44,0.00000000,3.00000000,14.00000000,11.23230000,pos,110,70.00000000,14.00000000,26.00000000,31.11140000,pos,1.00000000,0.00000000,0.00000000,0.00000000,0.43360000,13.00000000,194.00000000,202.00000000,15000.00000000,1
2023-06-30,0.02664355,0.02994361,0.02524795,0.03051564,0.16498187,0.02112938,122408.00000000,0.28343131,0.28408465,0.27635458,0.28390841,0.10701606,0.14380268,1559366.00000000,0.22473157,0.22953087,0.24618183,0.24618330,0.18443090,0.27855854,824889.00000000,0.07928165,0.07485937,0.10485480,0.09485214,0.17198071,0.11837238,350192.00000000,4.77090000,4.93227647,5.29687258,4.77090000,4.24492742,57.20076360,0.01301306,-0.05241476,19.40913545,75.94810157,74.66492402,62.58379653,0.25975573,69.35875215,27.00000000,16.00000000,17336.00000000,pos,54,0.00000000,14.00000000,19.00000000,6.94170000,pos,121,60.00000000,10.00000000,51.00000000,30.13270000,pos,2.00000000,0.00000000,0.00000000,1.00000000,0.59940000,24.00000000,227.00000000,243.00000000,20000.00000000,1
2023-07-01,0.03050956,0.03367684,0.03189432,0.03392398,0.12002799,0.01609351,82905.00000000,0.28390827,0.27230901,0.29252459,0.28610961,0.01134746,0.01643884,567975.00000000,0.24618790,0.22846466,0.26821281,0.24374680,0.03359288,0.05479622,307019.00000000,0.09505037,0.09065340,0.12547107,0.11150055,0.14472717,0.10285362,256708.00000000,4.81230000,4.97215491,5.38221547,4.81230000,4.24238453,61.36986752,0.04319919,-0.03329197,18.96406806,87.16549042,78.81705304,126.00696171,0.26120175,71.08837610,6.00000000,3.00000000,10003.00000000,pos,36,0.00000000,6.00000000,12.00000000,4.78780000,pos,89,44.00000000,18.00000000,27.00000000,13.05800000,pos,3.00000000,0.00000000,0.00000000,1.00000000,1.28260000,9.00000000,213.00000000,262.00000000,16000.00000000,1
2023-07-02,0.03391722,0.03636010,0.03419894,0.03681410,0.10394655,0.01424706,82922.00000000,0.28610966,0.27476511,0.28926190,0.28671122,0.01904255,0.02673091,591533.00000000,0.24374879,0.23232835,0.26203119,0.24715108,0.05530898,0.08776439,381133.00000000,0.11125712,0.08957161,0.13189980,0.10843373,0.11643478,0.08301949,220931.00000000,4.86035000,5.02204491,5.48778805,4.86035000,4.23291195,64.52545423,0.07792394,-0.01104879,19.10395546,95.15417043,86.08925414,157.21147605,0.26440163,72.32596117,13.00000000,8.00000000,11754.00000000,pos,28,0.00000000,7.00000000,10.00000000,1.88300000,pos,107,51.00000000,23.00000000,33.00000000,19.08210000,pos,3.00000000,0.00000000,1.00000000,0.00000000,1.37640000,5.00000000,163.00000000,258.00000000,19000.00000000,1
2023-07-03,0.03678683,0.03840171,0.03734722,0.03551853,0.08905525,0.01259023,76889.00000000,0.28671108,0.28594477,0.29744514,0.29713106,0.04627989,0.06400219,781855.00000000,0.24715568,0.23680432,0.27450402,0.25188770,0.07387758,0.11858228,404084.00000000,0.10840999,0.10298572,0.13722013,0.10843373,0.17890010,0.12944262,297949.00000000,4.90055000,5.06099302,5.56496869,4.90055000,4.23613131,62.07741929,0.09905673,0.01097232,19.61856461,92.28456061,91.53474048,168.56566793,0.26394437,76.90292616,11.00000000,6.00000000,11776.00000000,pos,50,0.00000000,8.00000000,18.00000000,8.02730000,pos,123,61.00000000,35.00000000,27.00000000,11.04020000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.00000000,164.00000000,147.00000000,28000.00000000,-1
2023-07-04,0.03547159,0.03602955,0.03485740,0.03386418,0.06999452,0.00978798,60987.00000000,0.29713112,0.28538844,0.29842511,0.28960002,0.03223832,0.04518999,779472.00000000,0.25189228,0.23440799,0.27398997,0.24681537,0.04120303,0.06765976,307691.00000000,0.10840999,0.08610991,0.12635779,0.09967141,0.09168990,0.06512006,190012.00000000,4.93950000,5.08832702,5.61288028,4.93950000,4.26611972,58.99931769,0.10786383,0.03035062,19.39325014,84.06039558,90.49970887,106.25189598,0.26344834,71.45629102,4.00000000,5.00000000,10820.00000000,pos,42,0.00000000,6.00000000,15.00000000,7.74470000,pos,99,54.00000000,20.00000000,25.00000000,20.45820000,pos,1.00000000,0.00000000,0.00000000,0.00000000,0.63690000,15.00000000,220.00000000,158.00000000,17000.00000000,-1
2023-07-05,0.03385744,0.03344352,0.03199720,0.03107373,0.06001326,0.00807756,60952.00000000,0.28960027,0.27641777,0.29014866,0.28454249,0.03225103,0.04431286,827926.00000000,0.24681473,0.22792099,0.26431701,0.24003829,0.05861090,0.09236841,362985.00000000,0.09964958,0.07961921,0.11616050,0.09178532,0.09873465,0.06857020,209992.00000000,4.98120000,5.09972444,5.61123638,4.98120000,4.35116362,54.12429980,0.10236667,0.04475383,18.45246160,69.04827837,81.79774485,40.01256924,0.26341632,65.78976503,16.00000000,4.00000000,11095.00000000,pos,63,0.00000000,5.00000000,27.00000000,14.79780000,pos,82,44.00000000,20.00000000,18.00000000,16.20460000,neg,3.00000000,0.00000000,1.00000000,1.00000000,-0.25380000,8.00000000,124.00000000,80.00000000,15000.00000000,-1
2023-07-06,0.03104761,0.03321019,0.02979546,0.02720695,0.06267986,0.00828931,63992.00000000,0.28454235,0.28822245,0.28326049,0.27276578,0.08293912,0.11216691,1397042.00000000,0.24003766,0.23201165,0.25165891,0.22320312,0.11150837,0.17102791,519031.00000000,0.09198423,0.08091735,0.10662824,0.07710843,0.13344350,0.09220206,301503.00000000,5.01080000,5.09156021,5.58622631,5.01080000,4.43537369,48.18300034,0.08141742,0.05208655,17.20553527,51.15623454,68.08830283,-14.93378690,0.27017230,60.06464585,5.00000000,11.00000000,11768.00000000,pos,48,0.00000000,9.00000000,16.00000000,6.54760000,pos,101,52.00000000,20.00000000,29.00000000,19.88130000,pos,3.00000000,0.00000000,1.00000000,0.00000000,0.67440000,16.00000000,95.00000000,85.00000000,20000.00000000,-1
