Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2021-09-04,49998.00000000,50535.69000000,49370.00000000,49915.64000000,34664.65959000,1733527136.44425870,1225830,3938.11000000,3970.00000000,3832.50000000,3885.52000000,364478.11930000,1422981232.23371200,996623,488.40000000,509.90000000,485.20000000,497.70000000,1248261.62770000,619851481.25859100,713105
2021-09-05,49917.54000000,51900.00000000,49450.00000000,51756.88000000,40544.83587300,2049212025.84465917,1417660,3885.61000000,3980.00000000,3830.00000000,3950.29000000,365759.85970000,1432553302.47684100,1083584,497.80000000,505.20000000,488.40000000,504.80000000,878406.04500000,436390403.43930000,598313
2021-09-06,51756.88000000,52780.00000000,50969.33000000,52663.90000000,49249.66708100,2549290983.05687762,1678015,3950.28000000,3970.00000000,3864.30000000,3926.77000000,397768.57830000,1562560096.37577000,865160,504.90000000,509.00000000,486.90000000,496.10000000,1121398.97800000,559438324.51250000,718084
2021-09-07,52666.20000000,52920.00000000,42843.05000000,46863.73000000,123048.80271900,6004105772.87044281,3321711,3926.67000000,3947.15000000,3005.00000000,3434.57000000,1203536.00209000,4298119218.28275360,2359100,496.10000000,504.80000000,369.00000000,418.70000000,3358688.12290000,1479395491.55728600,1548603
2021-09-08,46868.57000000,47340.99000000,44412.02000000,46048.31000000,65069.31520000,3000605793.93896050,1796101,3434.84000000,3560.00000000,3215.16000000,3499.00000000,780611.76570000,2665272033.98010800,1783652,418.70000000,425.50000000,382.30000000,415.00000000,2058507.11000000,841566323.66550000,884760
2021-09-09,46048.31000000,47399.97000000,45513.08000000,46395.14000000,50651.66002000,2351862983.51824120,1567586,3499.01000000,3567.06000000,3390.40000000,3424.93000000,628553.88310000,2194182935.33863800,1147283,415.20000000,436.10000000,403.40000000,421.30000000,1543293.22100000,644440971.82150000,778617
2021-09-10,46395.14000000,47033.00000000,44132.29000000,44850.91000000,49048.26618000,2243698626.03951660,1569941,3424.94000000,3514.11000000,3150.00000000,3208.86000000,633026.26590000,2107283581.30531000,1128069,421.30000000,439.40000000,393.20000000,401.40000000,1528906.75100000,632034252.05290000,746322
2021-09-11,44842.20000000,45987.93000000,44722.22000000,45173.69000000,30440.40810000,1380370764.01271670,1060890,3208.85000000,3348.37000000,3200.00000000,3267.21000000,413524.17610000,1355587141.45379300,833958,401.40000000,415.30000000,399.30000000,405.10000000,922767.05500000,376762491.34780000,470341
2021-09-12,45173.68000000,46460.00000000,44742.06000000,46025.24000000,32094.28052000,1464780920.21998130,1179808,3267.10000000,3474.16000000,3231.10000000,3404.21000000,408858.95950000,1379322044.69763100,1089138,405.00000000,421.50000000,397.40000000,416.30000000,981402.88300000,405085778.08380000,522393
2021-09-13,46025.23000000,46880.00000000,43370.00000000,44940.73000000,65429.15056000,2930668118.26163420,1703512,3404.30000000,3430.30000000,3108.49000000,3285.35000000,647855.71990000,2103663103.06774800,1363198,416.40000000,419.70000000,383.00000000,399.10000000,1531654.71900000,609769200.40370000,690953
2021-09-14,44940.72000000,47250.00000000,44594.44000000,47111.52000000,44855.85099000,2072259519.06191970,1210258,3285.09000000,3437.05000000,3269.95000000,3434.37000000,373634.90260000,1249733657.13210300,894664,399.10000000,414.70000000,395.70000000,414.30000000,930635.79200000,376195780.15790000,532901
2021-09-15,47103.28000000,48500.00000000,46682.32000000,48121.41000000,43204.71174000,2056996398.84396170,1176050,3434.37000000,3616.16000000,3357.78000000,3613.55000000,428507.52780000,1486156273.79187500,977023,414.30000000,438.00000000,409.60000000,431.30000000,1182055.63100000,502438326.37070000,635488
2021-09-16,48121.40000000,48557.00000000,47021.10000000,47737.82000000,40725.08895000,1948447232.91071780,1176129,3613.55000000,3676.28000000,3481.14000000,3567.98000000,467985.49190000,1680487713.22446500,1081868,431.20000000,435.00000000,415.60000000,424.30000000,1037049.02000000,442117531.72710000,617329
2021-09-17,47737.81000000,48150.00000000,46699.56000000,47299.98000000,34461.92776000,1637122049.41283770,1033968,3567.97000000,3594.17000000,3350.07000000,3399.81000000,398888.37050000,1383268101.51788600,867583,424.20000000,426.00000000,400.40000000,406.60000000,844137.72700000,349222596.77810000,522901
2021-09-18,47299.98000000,48843.20000000,47035.56000000,48292.74000000,30906.47038000,1491461627.95142250,976346,3399.89000000,3541.96000000,3368.88000000,3435.64000000,315162.76270000,1090387917.42968900,692204,406.80000000,420.00000000,401.50000000,410.70000000,733479.73900000,303442614.61760000,506743
2021-09-19,48292.75000000,48372.83000000,46829.18000000,47241.75000000,29847.24349000,1421642879.49320620,909785,3435.64000000,3456.53000000,3277.74000000,3328.62000000,312948.00130000,1052980779.84908000,687285,410.80000000,419.00000000,402.80000000,408.60000000,743095.72100000,305428364.01040000,528398
